research_track,candidate_id,client,vendor,url,short_description,assumed_industry,assumed_process,decision,reason
construction,ru-cn-pik-solut-labor-01,ГК ПИК (ПИК-Индустрия),SOLUT,https://www.vedomosti.ru/press_releases/2020/07/21/ii-sistema-monitoringa-truda-solut-uvelichila-proizvoditelnost-stroitelei-gk-pik-na-20,ИИ-мониторинг производительности труда строителей на объектах ПИК (SOLUT),construction-realestate,field-operations,included,"evidence A, sales_relevance 5"
construction,ru-cn-samolet-site-monitoring-01,ГК «Самолет»,,https://cio.osp.ru/articles/110423-Samolet-intellektualnyy-monitoring-stroyki,Интеллектуальный мониторинг стройплощадок ГК «Самолет» (компьютерное зрение),construction-realestate,quality-control,included,"evidence A, sales_relevance 5"
construction,ru-cn-fsk-samolet10d-cv-01,ООО «Группа компаний ФСК»,Самолёт 10D,https://platforms.su/project/2535,CV-пилот автоматического определения выполненных СМР: ГК ФСК и «Самолёт 10D»,construction-realestate,quality-control,included,"evidence B, sales_relevance 4"
construction,ru-cn-fsk-redmadrobot-rag-01,ГК ФСК,red_mad_robot,https://ruward.ru/award/2025/571632/,RAG-ассистенты для сотрудников и подрядчиков ГК ФСК (Smart-платформа red_mad_robot),construction-realestate,knowledge-management,included,"evidence B, sales_relevance 4"
construction,ru-cn-apri-napoleonit-visual-01,ПАО «АПРИ»,Napoleon IT,https://xn--80aque.xn--p1ai/news/napoleon-it-i-pao-apri-zapuskayut-masshtabnoe-vnedrenie-vizualnogo-intellekta-v-stroitelstve/,Платформа визуального интеллекта ТОР для контроля строительства ЖК «Грани» (АПРИ),construction-realestate,quality-control,included,"evidence B, sales_relevance 4"
construction,ru-cn-etalon-norbit-sales-01,Группа «Эталон»,НОРБИТ,https://www.norbit.ru/proekty/razrabotka-sistemy-prognozirovaniya-prodazh-na-baze-ai-tekhnologiy-v-gruppe-etalon/,Система прогнозирования продаж на базе ИИ в Группе «Эталон» (НОРБИТ),construction-realestate,sales,included,"evidence C, sales_relevance 3"
construction,ru-cn-sber2b-videoanalytics-rostov-01,Крупнейший застройщик Ростовской области (имя не раскрыто в источнике),Сбер2B (Сбер Бизнес Софт),https://sberbs.ru/blogs/cases/videoanalitika-na-osnove-ii-dlya-povysheniya-bezopasnosti-na-stroyploschadke,Видеоаналитика на основе ИИ для контроля безопасности на стройплощадке (застройщик Ростовской области),construction-realestate,security,included,"evidence C, sales_relevance 3"
construction,ru-cn-domclick-ai-agent-01,ПАО Сбербанк (сервис «Домклик»),,https://finance.mail.ru/article/domklik-testiruet-ii-agenta-dlya-podbora-zhilya-69214998/,ИИ-агент для подбора недвижимости в «Домклик» (Сбербанк),construction-realestate,recommendations-search,included,"evidence B, sales_relevance 4"
construction,ru-cn-avtodor-m11-noisescreens-cv-01,Государственная компания «Автодор» (трасса М-11 «Нева»),,https://russianhighways.ru/press/news/119776/,ИИ-оценка состояния шумозащитных экранов на трассе М-11 (Автодор),construction-realestate,cv-inspection,included,"evidence B, sales_relevance 3"
construction,us-cn-intel-buildots-cv-01,Intel Corporation,Buildots,https://buildots.com/case-studies/intel-partners-with-buildots/,Компьютерное зрение для контроля прогресса на фабриках Intel (Buildots),construction-realestate,cv-inspection,included,"evidence B, sales_relevance 5"
